Ticker,Trend,RSI,MACD,Volatility_%,Sharpe
GEV,Bullish,54.21,Bullish,53.38,2.22
CEG,Bullish,69.04,Bullish,49.22,1.45
NVDA,Bullish,62.14,Bullish,53.71,1.38
PWR,Bullish,68.77,Bullish,37.45,1.28
MCK,Bullish,59.8,Bullish,28.33,1.19
EME,Bullish,61.21,Bullish,36.41,1.17
AVGO,Bullish,59.43,Bearish,43.73,1.17
PLTR,Bullish,44.73,Bearish,71.59,1.16
ANET,Bullish,52.19,Bullish,45.54,1.16
LLY,Bearish,66.13,Bullish,34.22,1.09
SMCI,Bullish,67.14,Bullish,78.72,1.08
HWM,Bullish,45.64,Bearish,43.01,1.05
TSLA,Bullish,52.16,Bearish,67.29,1.04
VST,Bullish,53.7,Bearish,48.3,1.04
APH,Bullish,45.28,Bearish,29.72,1.03
IBKR,Bullish,63.72,Bullish,36.14,1.03
CRWD,Bullish,60.73,Bullish,53.98,1.02
APP,Bullish,41.01,Bearish,77.82,1.01
AXON,Bullish,31.42,Bearish,50.65,1.01
COR,Bullish,63.97,Bullish,25.82,1.01
COST,Bearish,46.13,Bullish,23.94,0.97
ORCL,Bullish,47.61,Bearish,38.47,0.97
ORLY,Bullish,46.68,Bearish,26.81,0.95
TT,Bullish,63.23,Bullish,30.67,0.94
CARR,Bearish,33.57,Bullish,37.6,0.93
GE,Bullish,39.88,Bearish,38.47,0.92
AZO,Bullish,48.5,Bearish,27.5,0.92
PANW,Bullish,62.51,Bullish,41.31,0.92
AJG,Bearish,39.99,Bearish,25.67,0.9
URI,Bullish,55.23,Bearish,44.52,0.9
CDNS,Bullish,27.05,Bearish,37.71,0.9
DELL,Bullish,63.27,Bullish,45.7,0.89
PGR,Bearish,46.4,Bearish,27.14,0.88
KLAC,Bullish,43.58,Bearish,46.09,0.88
ETN,Bullish,54.89,Bearish,33.82,0.87
JBL,Bullish,25.86,Bearish,40.8,0.87
GOOG,Bullish,40.19,Bearish,32.4,0.85
GOOGL,Bullish,40.35,Bearish,32.55,0.84
WMT,Bullish,45.97,Bearish,22.96,0.83
RSG,Bearish,40.67,Bearish,21.84,0.83
MSFT,Bullish,54.77,Bearish,29.88,0.83
NRG,Bullish,49.62,Bearish,41.16,0.82
CAH,Bullish,50.06,Bullish,29.13,0.82
WSM,Bullish,39.17,Bearish,50.65,0.82
CAT,Bullish,68.2,Bullish,32.19,0.81
MPWR,Bullish,59.34,Bullish,54.96,0.81
IRM,Bullish,45.21,Bearish,32.82,0.81
HOOD,Bullish,60.47,Bearish,74.23,0.81
AAPL,Bullish,40.34,Bearish,32.25,0.8
MSI,Bullish,36.03,Bearish,27.36,0.8
GS,Bullish,43.35,Bearish,33.09,0.8
TMUS,Bearish,25.14,Bearish,27.58,0.8
FICO,Bearish,58.27,Bullish,42.8,0.8
KKR,Bullish,15.84,Bearish,41.19,0.8
STLD,Bullish,63.86,Bullish,43.48,0.8
EQT,Bearish,61.42,Bearish,54.78,0.79
LRCX,Bullish,54.83,Bearish,48.78,0.79
PH,Bullish,34.68,Bearish,36.09,0.78
ABBV,Bullish,58.58,Bearish,25.14,0.78
BLDR,Bullish,48.94,Bullish,52.83,0.78
TSCO,Bullish,23.31,Bearish,30.28,0.77
STX,Bullish,45.26,Bearish,39.78,0.76
TPR,Bullish,46.38,Bearish,50.2,0.75
GWW,Bearish,32.81,Bearish,28.53,0.75
NFLX,Bullish,51.25,Bullish,44.05,0.74
CTAS,Bearish,24.15,Bearish,30.14,0.74
FTNT,Bearish,46.92,Bullish,45.44,0.74
AMD,Bullish,74.93,Bullish,53.82,0.74
DDOG,Bullish,75.38,Bullish,57.55,0.74
TRGP,Bearish,27.69,Bearish,56.46,0.72
HUBB,Bullish,37.59,Bearish,32.25,0.72
ROL,Bullish,52.67,Bearish,27.37,0.72
NDAQ,Bullish,53.91,Bullish,27.57,0.71
META,Bullish,35.78,Bearish,44.16,0.71
MS,Bullish,39.52,Bearish,35.26,0.71
GLW,Bullish,62.58,Bearish,33.53,0.71
FSLR,Bullish,60.97,Bearish,54.83,0.71
BRO,Bearish,60.72,Bullish,26.64,0.7
SNPS,Bullish,38.13,Bullish,40.67,0.7
VLTO,Bullish,32.86,Bearish,22.64,0.7
AMAT,Bullish,61.26,Bullish,46.81,0.7
WRB,Bullish,72.29,Bullish,28.83,0.7
TKO,Bullish,31.86,Bearish,37.85,0.69
MU,Bullish,65.25,Bullish,49.41,0.69
DECK,Bearish,28.28,Bearish,45.99,0.69
JCI,Bullish,43.79,Bearish,30.7,0.69
GRMN,Bullish,65.72,Bullish,30.9,0.68
NOW,Bearish,49.02,Bearish,42.43,0.68
PHM,Bullish,33.87,Bearish,42.37,0.68
EXE,Bearish,54.63,Bearish,34.94,0.68
HCA,Bullish,51.07,Bearish,36.89,0.67
AMP,Bearish,41.33,Bearish,38.32,0.67
WMB,Bullish,58.52,Bearish,34.77,0.67
KR,Bullish,59.18,Bullish,28.07,0.67
TPL,Bearish,42.83,Bearish,51.96,0.67
RJF,Bullish,23.82,Bearish,34.99,0.66
PTC,Bullish,46.47,Bearish,34.61,0.66
FAST,Bullish,21.42,Bearish,27.21,0.66
LIN,Bullish,26.58,Bearish,25.17,0.66
DHI,Bullish,31.99,Bearish,40.75,0.66
DE,Bearish,25.62,Bearish,32.6,0.65
FFIV,Bullish,66.64,Bullish,31.27,0.65
FCX,Bullish,44.73,Bullish,51.41,0.65
MPC,Bullish,38.02,Bearish,45.8,0.64
BX,Bullish,16.17,Bearish,41.27,0.64
EBAY,Bullish,46.39,Bearish,33.32,0.64
CMI,Bullish,39.56,Bearish,30.03,0.63
TJX,Bullish,55.14,Bearish,30.0,0.63
WAB,Bearish,48.47,Bearish,33.2,0.62
BKNG,Bullish,33.7,Bearish,36.2,0.62
MNST,Bullish,64.44,Bullish,26.4,0.62
PNR,Bullish,46.18,Bearish,32.72,0.62
UBER,Bullish,40.39,Bearish,52.72,0.62
HLT,Bullish,51.67,Bullish,32.99,0.62
AXP,Bullish,30.13,Bearish,37.82,0.62
WM,Bearish,47.61,Bullish,22.01,0.62
IBM,Bullish,54.4,Bearish,27.48,0.62
RL,Bullish,54.23,Bearish,42.49,0.61
BLK,Bullish,56.3,Bearish,31.22,0.61
CBRE,Bullish,27.84,Bearish,37.47,0.61
TEL,Bullish,49.1,Bearish,31.14,0.61
INTU,Bullish,24.28,Bearish,36.93,0.61
OTIS,Bearish,50.39,Bearish,25.73,0.6
MLM,Bullish,64.93,Bullish,33.64,0.6
CMG,Bearish,57.1,Bullish,35.79,0.6
BSX,Bullish,36.81,Bullish,27.56,0.6
AMZN,Bullish,49.79,Bearish,35.81,0.59
APO,Bearish,19.07,Bearish,43.07,0.59
IDXX,Bullish,42.9,Bearish,36.31,0.59
JPM,Bullish,44.83,Bearish,31.73,0.59
CBOE,Bullish,56.06,Bullish,27.5,0.59
NUE,Bullish,53.66,Bullish,41.0,0.59
J,Bullish,63.4,Bullish,28.34,0.58
CTVA,Bullish,32.24,Bearish,32.94,0.58
LII,Bearish,47.38,Bullish,32.35,0.57
GD,Bullish,62.96,Bearish,24.67,0.57
VMC,Bullish,57.1,Bearish,32.5,0.57
BK,Bullish,41.8,Bearish,30.64,0.57
MMC,Bearish,70.76,Bullish,22.86,0.57
TRV,Bullish,42.94,Bearish,28.73,0.56
TDG,Bearish,45.75,Bullish,39.08,0.56
WDC,Bullish,58.37,Bearish,48.92,0.56
BR,Bullish,34.95,Bullish,25.48,0.56
ISRG,Bearish,42.81,Bullish,35.53,0.56
ACGL,Bearish,61.99,Bullish,32.98,0.56
AFL,Bullish,59.98,Bearish,31.03,0.56
RCL,Bullish,24.52,Bearish,64.32,0.55
TTWO,Bullish,56.31,Bearish,34.15,0.55
PM,Bullish,40.01,Bullish,25.63,0.55
HIG,Bullish,38.37,Bearish,34.99,0.55
SNA,Bullish,42.31,Bearish,30.24,0.54
ODFL,Bearish,45.87,Bearish,36.36,0.54
IR,Bearish,31.51,Bearish,34.29,0.54
EA,Bullish,79.97,Bullish,27.65,0.53
LOW,Bullish,10.87,Bearish,31.67,0.53
LEN,Bullish,40.19,Bearish,42.73,0.53
MSCI,Bearish,35.46,Bearish,35.34,0.53
MCO,Bullish,48.58,Bullish,31.25,0.53
NEM,Bullish,62.37,Bearish,36.81,0.53
LH,Bullish,45.48,Bearish,30.23,0.53
NWS,Bullish,20.06,Bearish,33.09,0.53
PKG,Bullish,39.4,Bearish,29.41,0.52
ULTA,Bullish,58.8,Bearish,41.06,0.52
LDOS,Bullish,48.51,Bearish,29.66,0.52
WELL,Bullish,36.78,Bearish,38.09,0.52
CPRT,Bearish,39.21,Bearish,29.91,0.52
GILD,Bullish,61.48,Bullish,26.69,0.52
NVR,Bullish,35.01,Bearish,35.74,0.52
LYV,Bullish,28.32,Bearish,44.34,0.52
L,Bullish,67.15,Bearish,30.55,0.52
ALL,Bullish,46.68,Bearish,29.12,0.51
TTD,Bearish,70.72,Bullish,70.49,0.51
